SSBB,MLBAM,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
1,664285,Hou,Framber,Valdez,,,,,,,,,,,,,,,
2,543037,NYA,Gerrit,Cole,,,,,,,,,,,,,,,
3,669456,Cle,Shane,Bieber,,,,,,,,,,,,,,,
4,666201,Tor,Alek,Manoah,,,,,,,,,,,,,,,
5,527048,Tex,Martin,Perez,,,,,,,,,,,,,,,
6,663474,Cle,Triston,McKenzie,,,,,,,,,,,,,,,
7,592662,Sea,Robbie,Ray,,,,,,,,,,,,,,,
8,615698,Cle,Cal,Quantrill,,,,,,,,,,,,,,,
9,669302,Sea,Logan,Gilbert,,,,,,,,,,,,,,,
10,656302,ChA,Dylan,Cease,,,,,,,,,,,,,,,
11,594835,Sea,Marco,Gonzales,,,,,,,,,,,,,,,
12,605135,Tor,Chris,Bassitt,,,,,,,,,,,,,,,
13,608344,Bal,Cole,Irvin,,,,,,,,,,,,,,,
14,641154,Min,Pablo,Lopez,,,,,,,,,,,,,,,
15,601713,Bos,Nick,Pivetta,,,,,,,,,,,,,,,
16,543475,KC,Jordan,Lyles,,,,,,,,,,,,,,,
17,542881,LAA,Tyler,Anderson,,,,,,,,,,,,,,,
18,607074,NYA,Carlos,Rodon,,,,,,,,,,,,,,,
19,592332,Tor,Kevin,Gausman,,,,,,,,,,,,,,,
20,621244,Tor,Jose,Berrios,,,,,,,,,,,,,,,
21,502043,Bal,Kyle,Gibson,,,,,,,,,,,,,,,
22,663556,TB,Shane,McClanahan,,,,,,,,,,,,,,,
23,660271,LAA,Shohei,Ohtani-P,,,,,,,,,,,,,,,
24,664353,Hou,Jose,Urquidy,,,,,,,,,,,,,,,
25,446372,Bos,Corey,Kluber,,,,,,,,,,,,,,,
26,608337,ChA,Lucas,Giolito,,,,,,,,,,,,,,,
27,641482,NYA,Nestor,Cortes,,,,,,,,,,,,,,,
28,677651,Hou,Luis,Garcia(Hou),,,,,,,,,,,,,,,
29,663903,KC,Brady,Singer,,,,,,,,,,,,,,,
30,641540,Tex,Dane,Dunning,,,,,,,,,,,,,,,
31,622491,Sea,Luis,Castillo(Sea),,,,,,,,,,,,,,,
32,663776,LAA,Patrick,Sandoval,,,,,,,,,,,,,,,
33,664299,Hou,Cristian,Javier,,,,,,,,,,,,,,,
34,657746,Min,Joe,Ryan,,,,,,,,,,,,,,,
35,656876,TB,Drew,Rasmussen,,,,,,,,,,,,,,,
36,593423,NYA,Frankie(hurt!),Montas,,,,,,,,,,,,,,,
37,641745,KC,Brad,Keller,,,,,,,,,,,,,,,
38,623167,Sea,Chris,Flexen,,,,,,,,,,,,,,,
39,657248,Tex,Glenn,Otto,,,,,,,,,,,,,,,
40,605488,TB,Jeffrey,Springs,,,,,,,,,,,,,,,
41,621076,Oak,James,Kaprielian,,,,,,,,,,,,,,,
42,668676,Cle,Zach,Plesac,,,,,,,,,,,,,,,
43,663738,KC,Daniel,Lynch,,,,,,,,,,,,,,,
44,669923,Sea,George,Kirby,,,,,,,,,,,,,,,
45,663460,KC,Kris,Bubic,,,,,,,,,,,,,,,
46,672282,LAA,Reid,Detmers,,,,,,,,,,,,,,,
47,592351,Tex,Jon,Gray(Tex),,,,,,,,,,,,,,,
48,665152,Bal,Dean,Kremer,,,,,,,,,,,,,,,
49,458681,ChA,Lance,Lynn,,,,,,,,,,,,,,,
50,605507,Tor,Zach,Thompson,,,,,,,,,,,,,,,
51,641816,Min,Tyler,Mahle,,,,,,,,,,,,,,,
52,543243,Min,Sonny,Gray,,,,,,,,,,,,,,,
