MLBID,team
543101,Bears #9
641540,Bears #9
458681,Bears #9
667356,Bears #9
656756,Bears #9
605400,Bears #9
642547,Bears #9
675977,Bears #9
656266,Bears #9
547973,Bears #9
571704,Bears #9
675627,Bears #9
656529,Bears #9
666204,Bears #9
606160,Bears #9
682171,Bears #9
573124,Bears #9
681806,Bears #9
666214,Bears #9
542194,Bears #9
643376,Bears #9
663886,Bears #9
679631,Bears #9
663647,Bears #9
676480,Bears #9
678225,Bears #9
663538,Bears #9
672724,Bears #9
675656,Bears #9
641857,Bears #9
666185,Bears #9
624424,Bears #9
660757,Bears #9
656541,Bears #9
592669,Bears #9
645302,Bears #9
664774,Bears #9
664977,Bears #9
657624,Bears #9
660684,Bears #9
677577,Bears #9
676733,Bears #9
666931,Bears #9
622728,Bears #9
663618,Bears #9
682997,Bears #9
666186,Bears #9
672695,Bears #9
668845,Bears #9
669911,Bears #9
502154,Bears #9
676113,Bears #9
675966,Bears #9
677338,Bears #9
691189,Bears #9
691190,Bears #9
678877,Bears #9
691186,Bears #9
683341,Bears #9
693309,Bears #9
694204,Bears #9
680574,Bears #9
679563,Bears #9
682266,Bears #9
703151,Bears #9
695780,Bears #9
692562,Bears #9
800473,Bears #9
700363,Bears #9
691442,Bears #9
666120,Bosses #23
641482,Bosses #23
677651,Bosses #23
664062,Bosses #23
596001,Bosses #23
669160,Bosses #23
666205,Bosses #23
660271,Bosses #23
624133,Bosses #23
622088,Bosses #23
664747,Bosses #23
622554,Bosses #23
656420,Bosses #23
592454,Bosses #23
623149,Bosses #23
621381,Bosses #23
669257,Bosses #23
657136,Bosses #23
663611,Bosses #23
605119,Bosses #23
592518,Bosses #23
578428,Bosses #23
607208,Bosses #23
643446,Bosses #23
670541,Bosses #23
545361,Bosses #23
660766,Bosses #23
664294,Bosses #23
642203,Bosses #23
663897,Bosses #23
665975,Bosses #23
663609,Bosses #23
677610,Bosses #23
680881,Bosses #23
674468,Bosses #23
642578,Bosses #23
682645,Bosses #23
682639,Bosses #23
678016,Bosses #23
672018,Bosses #23
683090,Bosses #23
692497,Bosses #23
680932,Bosses #23
682774,Bosses #23
677347,Bosses #23
678643,Bosses #23
692552,Bosses #23
691262,Bosses #23
699020,Bosses #23
683004,Bosses #23
682254,Bosses #23
694885,Bosses #23
694190,Bosses #23
703149,Bosses #23
691907,Bosses #23
800507,Bosses #23
800451,Bosses #23
800510,Bosses #23
800516,Bosses #23
703191,Bosses #23
703196,Bosses #23
695556,Bosses #23
703204,Bosses #23
703199,Bosses #23
502171,Bulldog #18
693821,Bulldog #18
518876,Bulldog #18
607644,Bulldog #18
592662,Bulldog #18
628711,Bulldog #18
608379,Bulldog #18
657277,Bulldog #18
650556,Bulldog #18
642546,Bulldog #18
592426,Bulldog #18
621076,Bulldog #18
571948,Bulldog #18
669212,Bulldog #18
662253,Bulldog #18
672335,Bulldog #18
605447,Bulldog #18
543592,Bulldog #18
502671,Bulldog #18
572233,Bulldog #18
660707,Bulldog #18
641313,Bulldog #18
681082,Bulldog #18
516416,Bulldog #18
572816,Bulldog #18
669720,Bulldog #18
666134,Bulldog #18
571980,Bulldog #18
572191,Bulldog #18
621438,Bulldog #18
547942,Bulldog #18
500610,Bulldog #18
672730,Bulldog #18
660422,Bulldog #18
675989,Bulldog #18
664332,Bulldog #18
677565,Bulldog #18
666619,Bulldog #18
676369,Bulldog #18
683764,Bulldog #18
681869,Bulldog #18
666154,Bulldog #18
666197,Bulldog #18
641900,Bulldog #18
671305,Bulldog #18
680689,Bulldog #18
666672,Bulldog #18
672841,Bulldog #18
676130,Bulldog #18
678323,Bulldog #18
